Godot Engine v4.6.stable.official.89cea1439 - https://godotengine.org
Vulkan 1.4.312 - Forward+ - Using Device #0: NVIDIA - NVIDIA GeForce RTX 3080

[square] circ=73.8 avg_h=0.262 ref=1.000 | e0=0.204, e1=0.263, e2=0.272, e3=0.310 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.729979, -0.662976)
[square] circ=73.8 avg_h=0.262 ref=1.000 | e0=0.204, e1=0.263, e2=0.272, e3=0.310 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.729979, -0.662976)
[square] circ=73.8 avg_h=0.262 ref=1.000 | e0=0.205, e1=0.263, e2=0.272, e3=0.311 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.730302, -0.663248)
[square] circ=73.7 avg_h=0.263 ref=1.000 | e0=0.205, e1=0.263, e2=0.272, e3=0.311 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.730695, -0.663581)
[square] circ=73.7 avg_h=0.263 ref=1.000 | e0=0.206, e1=0.263, e2=0.272, e3=0.312 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.731741, -0.66438)
[square] circ=73.6 avg_h=0.264 ref=1.000 | e0=0.207, e1=0.263, e2=0.273, e3=0.312 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.732481, -0.664906)
[square] circ=73.6 avg_h=0.264 ref=1.000 | e0=0.208, e1=0.263, e2=0.273, e3=0.313 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.733733, -0.665738)
[square] circ=73.5 avg_h=0.265 ref=1.000 | e0=0.208, e1=0.263, e2=0.274, e3=0.314 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.734569, -0.66625)
[square] circ=73.4 avg_h=0.266 ref=1.000 | e0=0.211, e1=0.263, e2=0.276, e3=0.316 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.737493, -0.667849)
[square] circ=73.3 avg_h=0.267 ref=1.000 | e0=0.211, e1=0.264, e2=0.276, e3=0.316 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.737991, -0.668095)
[square] circ=73.3 avg_h=0.267 ref=1.000 | e0=0.212, e1=0.264, e2=0.276, e3=0.316 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.738499, -0.668341)
[square] circ=73.2 avg_h=0.268 ref=1.000 | e0=0.213, e1=0.264, e2=0.277, e3=0.317 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.739647, -0.668875)
[square] circ=73.2 avg_h=0.268 ref=1.000 | e0=0.213, e1=0.264, e2=0.277, e3=0.317 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.74019, -0.669117)
[square] circ=73.2 avg_h=0.268 ref=1.000 | e0=0.213, e1=0.264, e2=0.277, e3=0.317 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.740291, -0.669162)
[square] circ=73.1 avg_h=0.269 ref=1.000 | e0=0.214, e1=0.264, e2=0.278, e3=0.318 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.741415, -0.669645)
[square] circ=73.1 avg_h=0.269 ref=1.000 | e0=0.214, e1=0.264, e2=0.278, e3=0.318 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.74152, -0.66969)
[square] circ=73.1 avg_h=0.269 ref=1.000 | e0=0.215, e1=0.264, e2=0.278, e3=0.318 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.742102, -0.669931)
[square] circ=73.1 avg_h=0.269 ref=1.000 | e0=0.215, e1=0.265, e2=0.279, e3=0.318 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.742452, -0.669899)
[square] circ=73.1 avg_h=0.269 ref=1.000 | e0=0.216, e1=0.264, e2=0.279, e3=0.318 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.742605, -0.669729)
[square] circ=73.1 avg_h=0.269 ref=1.000 | e0=0.216, e1=0.263, e2=0.280, e3=0.318 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.742763, -0.669554)
[square] circ=73.2 avg_h=0.268 ref=1.000 | e0=0.216, e1=0.258, e2=0.280, e3=0.318 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.742955, -0.669341)
[square] circ=73.2 avg_h=0.268 ref=1.000 | e0=0.216, e1=0.258, e2=0.280, e3=0.318 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.743125, -0.669152)
[square] circ=73.3 avg_h=0.267 ref=1.000 | e0=0.216, e1=0.254, e2=0.280, e3=0.318 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.743155, -0.66912)
[square] circ=73.4 avg_h=0.266 ref=1.000 | e0=0.216, e1=0.249, e2=0.281, e3=0.317 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.74336, -0.668891)
[square] circ=73.4 avg_h=0.266 ref=1.000 | e0=0.217, e1=0.248, e2=0.281, e3=0.317 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.743542, -0.66869)
[square] circ=73.4 avg_h=0.266 ref=1.000 | e0=0.217, e1=0.247, e2=0.282, e3=0.317 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.743728, -0.668482)
[square] circ=73.4 avg_h=0.266 ref=1.000 | e0=0.217, e1=0.247, e2=0.282, e3=0.317 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.74392, -0.668269)
[square] circ=73.4 avg_h=0.266 ref=1.000 | e0=0.217, e1=0.246, e2=0.282, e3=0.317 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.744117, -0.668049)
[square] circ=73.4 avg_h=0.266 ref=1.000 | e0=0.217, e1=0.246, e2=0.283, e3=0.317 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.744149, -0.668013)
[square] circ=73.4 avg_h=0.266 ref=1.000 | e0=0.218, e1=0.246, e2=0.283, e3=0.316 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.744352, -0.667787)
[square] circ=73.4 avg_h=0.266 ref=1.000 | e0=0.218, e1=0.247, e2=0.283, e3=0.316 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.74456, -0.667555)
[square] circ=73.4 avg_h=0.266 ref=1.000 | e0=0.218, e1=0.247, e2=0.284, e3=0.316 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.744774, -0.667317)
[square] circ=73.3 avg_h=0.267 ref=1.000 | e0=0.218, e1=0.248, e2=0.284, e3=0.316 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.744992, -0.667073)
[square] circ=73.3 avg_h=0.267 ref=1.000 | e0=0.219, e1=0.248, e2=0.285, e3=0.316 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.745216, -0.666823)
[square] circ=73.3 avg_h=0.267 ref=1.000 | e0=0.219, e1=0.249, e2=0.285, e3=0.315 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.745446, -0.666567)
[square] circ=73.3 avg_h=0.267 ref=1.000 | e0=0.219, e1=0.250, e2=0.286, e3=0.315 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.74568, -0.666304)
[square] circ=73.2 avg_h=0.268 ref=1.000 | e0=0.219, e1=0.250, e2=0.286, e3=0.315 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.745919, -0.666036)
[square] circ=73.2 avg_h=0.268 ref=1.000 | e0=0.219, e1=0.250, e2=0.286, e3=0.315 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.745919, -0.666036)
[square] circ=73.3 avg_h=0.267 ref=1.000 | e0=0.220, e1=0.247, e2=0.286, e3=0.315 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.745977, -0.665972)
[square] circ=73.4 avg_h=0.266 ref=1.000 | e0=0.220, e1=0.244, e2=0.286, e3=0.315 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.746035, -0.665907)
[square] circ=73.5 avg_h=0.265 ref=1.000 | e0=0.220, e1=0.238, e2=0.286, e3=0.315 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.746154, -0.665773)
[square] circ=73.5 avg_h=0.265 ref=1.000 | e0=0.220, e1=0.237, e2=0.286, e3=0.314 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.74643, -0.665463)
[square] circ=73.5 avg_h=0.265 ref=1.000 | e0=0.220, e1=0.237, e2=0.287, e3=0.314 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.746561, -0.665317)
[square] circ=73.8 avg_h=0.262 ref=1.000 | e0=0.221, e1=0.228, e2=0.287, e3=0.314 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.74681, -0.665037)
[square] circ=73.9 avg_h=0.261 ref=1.000 | e0=0.221, e1=0.221, e2=0.287, e3=0.314 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.747025, -0.664796)
